Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-88010,296,20
Action-88011,492,42
Action-88012,298,24
Action-88013,103,10
Action-88014,128,42
Action-88015,474,18
Action-88016,390,19
Action-88017,136,16
Action-88018,299,45
Action-88019,35,48
Action-88020,120,10
Action-88021,3,17
Action-88022,492,17
Action-88023,168,38
Action-88024,151,13
Action-88025,431,27
Action-88026,323,43
Action-88027,322,30
Action-88028,46,2
Action-88029,485,13
Action-88030,351,49
Action-88031,184,35
Action-88032,281,33
Action-88033,406,40
Action-88034,344,24
Action-88035,122,6
Action-88036,39,25
Action-88037,438,16
Action-88038,271,18
Action-88039,229,27
Action-88040,327,16
Action-88041,197,15
Action-88042,385,12
Action-88043,40,28
Action-88044,244,46
Action-88045,353,27
Action-88046,499,47
Action-88047,68,46
Action-88048,473,23
Action-88049,485,37
Action-88050,200,41
Action-88051,35,11
Action-88052,58,9
Action-88053,239,23
Action-88054,386,19
Action-88055,89,41
Action-88056,162,25
Action-88057,371,43
Action-88058,296,43
Action-88059,133,16
Action-88060,256,28
Action-88061,23,27
Action-88062,413,11
Action-88063,175,32
Action-88064,248,33
Action-88065,36,34
Action-88066,359,23
Action-88067,467,24
Action-88068,337,49
Action-88069,470,5
Action-88070,341,36
Action-88071,458,9
Action-88072,88,23
Action-88073,125,31
Action-88074,276,12
Action-88075,37,28
Action-88076,320,16
Action-88077,105,45
Action-88078,39,41
Action-88079,242,12
Action-88080,96,5
Action-88081,454,17
Action-88082,186,16
Action-88083,457,35
Action-88084,311,21
Action-88085,354,10
Action-88086,371,36
Action-88087,308,45
Action-88088,419,35
Action-88089,17,27
Action-88090,175,7
Action-88091,250,39
Action-88092,495,34
Action-88093,406,7
Action-88094,197,40
Action-88095,199,46
Action-88096,445,8
Action-88097,315,31
Action-88098,362,19
Action-88099,459,25
Action-88100,341,0
Action-88101,171,16
Action-88102,326,8
Action-88103,307,20
Action-88104,8,42
Action-88105,248,19
Action-88106,30,41
Action-88107,36,10
Action-88108,443,8
Action-88109,57,8
Action-88110,10,37
Action-88111,134,32
Action-88112,326,18
Action-88113,445,43
Action-88114,55,5
Action-88115,140,10
Action-88116,440,47
Action-88117,419,47
Action-88118,228,48
Action-88119,271,45
Action-88120,232,46
Action-88121,102,19
Action-88122,8,31
Action-88123,390,44
Action-88124,325,32
Action-88125,482,24
Action-88126,408,26
Action-88127,124,45
Action-88128,102,21
Action-88129,340,11
Action-88130,257,35
Action-88131,112,19
Action-88132,397,47
Action-88133,423,17
Action-88134,70,32
Action-88135,278,33
Action-88136,217,46
Action-88137,378,2
Action-88138,390,11
Action-88139,324,45
Action-88140,73,26
Action-88141,207,37
Action-88142,276,7
Action-88143,307,9
Action-88144,458,4
Action-88145,317,26
Action-88146,458,4
Action-88147,289,45
Action-88148,378,49
Action-88149,118,2
Action-88150,328,38
Action-88151,64,42
Action-88152,398,21
Action-88153,150,10
Action-88154,116,7
Action-88155,443,1
Action-88156,83,10
Action-88157,337,2
Action-88158,267,6
Action-88159,488,17
Action-88160,312,27
Action-88161,105,31
Action-88162,313,48
Action-88163,19,19
Action-88164,122,31
Action-88165,204,24
Action-88166,417,6
Action-88167,489,18
Action-88168,147,31
Action-88169,212,43
Action-88170,115,40
Action-88171,175,25
Action-88172,147,17
Action-88173,395,18
Action-88174,120,40
Action-88175,443,35
Action-88176,196,33
Action-88177,351,31
Action-88178,208,11
Action-88179,452,18
Action-88180,105,5
Action-88181,322,5
Action-88182,3,15
Action-88183,135,20
Action-88184,395,15
Action-88185,26,41
Action-88186,33,18
Action-88187,50,8
Action-88188,413,9
Action-88189,76,1
Action-88190,300,47
Action-88191,474,30
Action-88192,81,25
Action-88193,459,32
Action-88194,71,19
Action-88195,130,3
Action-88196,46,9
Action-88197,349,46
Action-88198,136,1
Action-88199,83,30
Action-88200,473,3
Action-88201,177,31
Action-88202,342,16
Action-88203,91,38
Action-88204,126,19
Action-88205,119,22
Action-88206,452,44
Action-88207,99,23
Action-88208,13,34
Action-88209,246,35
Action-88210,164,40
Action-88211,144,49
Action-88212,387,11
Action-88213,370,13
Action-88214,201,16
Action-88215,103,2
Action-88216,60,41
Action-88217,484,26
Action-88218,208,47
Action-88219,363,36
Action-88220,426,13
Action-88221,297,12
Action-88222,155,48
Action-88223,192,1
Action-88224,419,37
Action-88225,454,12
Action-88226,270,5
Action-88227,32,11
Action-88228,109,48
Action-88229,290,21
Action-88230,354,5
Action-88231,317,34
Action-88232,158,27
Action-88233,490,3
Action-88234,355,38
Action-88235,66,24
Action-88236,98,1
Action-88237,330,47
Action-88238,141,47
Action-88239,427,3
Action-88240,457,43
Action-88241,188,0
Action-88242,459,34
Action-88243,102,23
Action-88244,34,47
Action-88245,333,27
Action-88246,211,27
Action-88247,97,38
Action-88248,369,10
Action-88249,75,23
Action-88250,409,18
Action-88251,416,10
Action-88252,216,20
Action-88253,476,41
Action-88254,226,32
Action-88255,428,38
Action-88256,22,19
Action-88257,355,16
Action-88258,187,22
Action-88259,271,19
Action-88260,397,37
Action-88261,106,6
Action-88262,136,47
Action-88263,29,35
Action-88264,375,40
Action-88265,149,13
Action-88266,466,26
Action-88267,351,1
Action-88268,139,26
Action-88269,292,4
Action-88270,153,25
Action-88271,88,18
Action-88272,374,23
Action-88273,293,47
Action-88274,167,28
Action-88275,110,28
Action-88276,494,37
Action-88277,122,5
Action-88278,102,36
Action-88279,114,33
Action-88280,328,47
Action-88281,368,28
Action-88282,305,29
Action-88283,199,21
Action-88284,252,38
Action-88285,252,18
Action-88286,355,34
Action-88287,285,43
Action-88288,461,15
Action-88289,397,1
Action-88290,314,17
Action-88291,469,31
Action-88292,113,40
Action-88293,182,41
Action-88294,447,21
Action-88295,468,43
Action-88296,57,33
Action-88297,251,11
Action-88298,378,32
Action-88299,212,30
Action-88300,430,40
Action-88301,304,41
Action-88302,407,39
Action-88303,182,40
Action-88304,132,21
Action-88305,77,18
Action-88306,408,32
Action-88307,474,3
Action-88308,391,41
Action-88309,281,35
Action-88310,328,19
Action-88311,208,5
Action-88312,49,34
Action-88313,313,18
Action-88314,184,7
Action-88315,311,18
Action-88316,263,31
Action-88317,67,11
Action-88318,63,18
Action-88319,72,29
Action-88320,46,1
Action-88321,472,0
Action-88322,75,20
Action-88323,33,16
Action-88324,390,26
Action-88325,100,1
Action-88326,323,37
Action-88327,322,35
Action-88328,263,39
Action-88329,478,42
Action-88330,15,10
Action-88331,189,37
Action-88332,476,19
Action-88333,21,9
Action-88334,378,29
Action-88335,295,16
Action-88336,411,41
Action-88337,64,2
Action-88338,179,34
Action-88339,242,12
Action-88340,35,6
Action-88341,343,43
Action-88342,469,9
Action-88343,360,8
Action-88344,263,20
Action-88345,37,1
Action-88346,227,29
Action-88347,417,17
Action-88348,248,31
Action-88349,242,45
Action-88350,33,43
Action-88351,449,42
Action-88352,405,4
Action-88353,258,4
Action-88354,404,40
Action-88355,360,48
Action-88356,406,18
Action-88357,142,9
Action-88358,481,22
Action-88359,173,19
Action-88360,145,12
Action-88361,435,8
Action-88362,118,21
Action-88363,44,5
Action-88364,344,2
Action-88365,3,18
Action-88366,25,26
Action-88367,1,0
Action-88368,4,46
Action-88369,178,47
Action-88370,152,18
Action-88371,237,13
Action-88372,81,19
Action-88373,237,9
Action-88374,60,47
Action-88375,113,10
Action-88376,460,28
Action-88377,199,24
Action-88378,379,40
Action-88379,320,5
Action-88380,55,6
Action-88381,111,36
Action-88382,244,18
Action-88383,383,5
Action-88384,14,48
Action-88385,318,30
Action-88386,425,26
Action-88387,428,7
Action-88388,453,14
Action-88389,300,4
Action-88390,191,34
Action-88391,96,28
Action-88392,469,23
Action-88393,294,26
Action-88394,453,25
Action-88395,138,25
Action-88396,95,34
Action-88397,342,5
Action-88398,51,44
Action-88399,307,49
Action-88400,424,46
Action-88401,71,41
Action-88402,205,15
Action-88403,360,15
Action-88404,176,40
Action-88405,67,21
Action-88406,1,25
Action-88407,380,43
Action-88408,365,45
Action-88409,97,44
Action-88410,150,4
Action-88411,65,14
Action-88412,113,1
Action-88413,425,42
Action-88414,419,26
Action-88415,29,35
Action-88416,365,14
Action-88417,99,26
Action-88418,21,20
Action-88419,19,14
Action-88420,186,41
Action-88421,423,29
Action-88422,222,1
Action-88423,185,28
Action-88424,483,22
Action-88425,342,4
Action-88426,475,41
Action-88427,293,21
Action-88428,222,35
Action-88429,286,21
Action-88430,440,47
Action-88431,495,38
Action-88432,126,31
Action-88433,290,7
Action-88434,274,18
Action-88435,16,46
Action-88436,76,49
Action-88437,410,28
Action-88438,57,16
Action-88439,232,19
Action-88440,212,48
Action-88441,125,18
Action-88442,434,3
Action-88443,62,35
Action-88444,3,35
Action-88445,324,42
Action-88446,170,43
Action-88447,295,30
Action-88448,336,47
Action-88449,463,14
Action-88450,432,43
Action-88451,34,2
Action-88452,85,49
Action-88453,127,18
Action-88454,259,2
Action-88455,111,26
Action-88456,405,24
Action-88457,88,41
Action-88458,490,18
Action-88459,131,30
Action-88460,421,30
Action-88461,445,32
Action-88462,130,40
Action-88463,10,11
Action-88464,287,5
Action-88465,35,30
Action-88466,195,28
Action-88467,186,25
Action-88468,464,0
Action-88469,301,47
Action-88470,390,22
Action-88471,177,3
Action-88472,55,18
Action-88473,276,38
Action-88474,340,1
Action-88475,422,6
Action-88476,87,39
Action-88477,219,35
Action-88478,493,8
Action-88479,384,25
Action-88480,232,1
Action-88481,15,43
Action-88482,460,15
Action-88483,71,32
Action-88484,118,23
Action-88485,471,31
Action-88486,286,5
Action-88487,422,0
Action-88488,304,29
Action-88489,118,12
Action-88490,334,12
Action-88491,47,23
Action-88492,339,36
Action-88493,405,44
Action-88494,413,30
Action-88495,205,31
Action-88496,295,15
Action-88497,186,25
Action-88498,390,27
Action-88499,146,11
Action-88500,403,29
Action-88501,43,10
Action-88502,58,45
Action-88503,54,19
Action-88504,194,0
Action-88505,356,36
Action-88506,105,14
Action-88507,202,28
Action-88508,280,44
Action-88509,433,2
Action-88510,178,21
Action-88511,414,23
Action-88512,98,40
Action-88513,344,42
Action-88514,206,16
Action-88515,106,15
Action-88516,68,1
Action-88517,222,8
Action-88518,17,8
Action-88519,335,21
Action-88520,385,18
Action-88521,18,17
Action-88522,311,1
Action-88523,333,20
Action-88524,459,21
Action-88525,303,35
Action-88526,283,26
Action-88527,107,41
Action-88528,179,35
Action-88529,265,39
Action-88530,344,4
Action-88531,251,20
Action-88532,255,37
Action-88533,223,26
Action-88534,393,37
Action-88535,151,19
Action-88536,484,46
Action-88537,31,38
Action-88538,453,44
Action-88539,250,3
Action-88540,314,48
Action-88541,465,20
Action-88542,403,17
Action-88543,59,7
Action-88544,315,32
Action-88545,177,1
Action-88546,22,44
Action-88547,190,18
Action-88548,67,31
Action-88549,71,36
Action-88550,130,10
Action-88551,4,34
Action-88552,414,30
Action-88553,439,45
Action-88554,371,8
Action-88555,438,34
Action-88556,471,32
Action-88557,297,4
Action-88558,86,41
Action-88559,44,6
Action-88560,202,14
Action-88561,345,25
Action-88562,236,43
Action-88563,385,27
Action-88564,456,8
Action-88565,53,49
Action-88566,67,43
Action-88567,486,37
Action-88568,223,12
Action-88569,21,29
Action-88570,261,12
Action-88571,23,15
Action-88572,314,47
Action-88573,362,2
Action-88574,468,33
Action-88575,434,29
Action-88576,327,19
Action-88577,412,21
Action-88578,116,29
Action-88579,165,44
Action-88580,213,6
Action-88581,225,25
Action-88582,423,15
Action-88583,168,28
Action-88584,388,31
Action-88585,126,47
Action-88586,191,29
Action-88587,441,4
Action-88588,41,45
Action-88589,293,19
Action-88590,120,16
Action-88591,375,7
Action-88592,65,6
Action-88593,274,9
Action-88594,390,43
Action-88595,152,30
Action-88596,317,7
Action-88597,321,37
Action-88598,214,8
Action-88599,80,41
Action-88600,397,23
Action-88601,221,0
Action-88602,338,39
Action-88603,225,20
Action-88604,225,22
Action-88605,212,44
Action-88606,333,17
Action-88607,372,16
Action-88608,41,14
Action-88609,195,28
Action-88610,354,11
Action-88611,230,32
Action-88612,109,47
Action-88613,483,36
Action-88614,248,14
Action-88615,16,13
Action-88616,9,6
Action-88617,230,2
Action-88618,424,31
Action-88619,187,0
Action-88620,348,24
Action-88621,259,25
Action-88622,70,33
Action-88623,165,0
Action-88624,380,43
Action-88625,480,5
Action-88626,486,17
Action-88627,152,20
Action-88628,262,29
Action-88629,264,5
Action-88630,190,34
Action-88631,325,37
Action-88632,351,9
Action-88633,424,30
Action-88634,480,10
Action-88635,264,44
Action-88636,450,43
Action-88637,250,39
Action-88638,298,3
Action-88639,138,2
Action-88640,287,29
Action-88641,4,3
Action-88642,62,6
Action-88643,278,4
Action-88644,47,46
Action-88645,339,44
Action-88646,465,20
Action-88647,258,38
Action-88648,22,44
Action-88649,336,17
Action-88650,313,1
Action-88651,17,23
Action-88652,412,36
Action-88653,4,5
Action-88654,398,32
Action-88655,396,13
Action-88656,356,39
Action-88657,301,8
Action-88658,1,41
Action-88659,260,44
Action-88660,442,10
Action-88661,204,27
Action-88662,463,41
Action-88663,105,27
Action-88664,218,21
Action-88665,85,33
Action-88666,269,39
Action-88667,351,38
Action-88668,406,28
Action-88669,211,39
Action-88670,443,16
Action-88671,383,15
Action-88672,413,20
Action-88673,274,3
Action-88674,345,37
Action-88675,436,21
Action-88676,273,6
Action-88677,172,11
Action-88678,244,48
Action-88679,44,9
Action-88680,85,29
Action-88681,51,18
Action-88682,454,42
Action-88683,257,2
Action-88684,431,7
Action-88685,175,21
Action-88686,1,49
Action-88687,47,8
Action-88688,120,48
Action-88689,421,3
Action-88690,487,47
Action-88691,263,33
Action-88692,70,31
Action-88693,155,1
Action-88694,28,7
Action-88695,124,19
Action-88696,461,31
Action-88697,3,41
Action-88698,451,38
Action-88699,427,17
Action-88700,393,15
Action-88701,211,4
Action-88702,277,19
Action-88703,42,20
Action-88704,479,38
Action-88705,264,13
Action-88706,153,34
Action-88707,34,6
Action-88708,387,15
Action-88709,396,16
Action-88710,327,38
Action-88711,259,30
Action-88712,414,6
Action-88713,140,22
Action-88714,88,11
Action-88715,35,27
Action-88716,79,13
Action-88717,471,47
Action-88718,179,15
Action-88719,350,23
Action-88720,279,17
Action-88721,426,47
Action-88722,296,9
Action-88723,379,43
Action-88724,244,35
Action-88725,21,45
Action-88726,58,26
Action-88727,110,44
Action-88728,103,17
Action-88729,59,30
Action-88730,265,29
Action-88731,137,42
Action-88732,49,34
Action-88733,467,9
Action-88734,179,43
Action-88735,139,30
Action-88736,408,10
Action-88737,200,41
Action-88738,166,29
Action-88739,407,44
Action-88740,317,7
Action-88741,229,18
Action-88742,475,11
Action-88743,38,30
Action-88744,229,38
Action-88745,245,30
Action-88746,210,19
Action-88747,72,44
Action-88748,444,48
Action-88749,410,41
Action-88750,27,14
Action-88751,423,26
Action-88752,490,41
Action-88753,419,18
Action-88754,363,29
Action-88755,198,31
Action-88756,303,31
Action-88757,232,2
Action-88758,286,34
Action-88759,384,24
Action-88760,287,29
Action-88761,215,22
Action-88762,162,40
Action-88763,299,22
Action-88764,400,32
Action-88765,96,19
Action-88766,374,46
Action-88767,197,49
Action-88768,437,28
Action-88769,498,34
Action-88770,221,33
Action-88771,88,27
Action-88772,53,9
Action-88773,9,27
Action-88774,163,6
Action-88775,391,48
Action-88776,87,0
Action-88777,169,24
Action-88778,230,23
Action-88779,128,12
Action-88780,402,10
Action-88781,43,0
Action-88782,93,33
Action-88783,265,18
Action-88784,74,11
Action-88785,23,15
Action-88786,247,0
Action-88787,188,46
Action-88788,230,33
Action-88789,176,7
Action-88790,186,8
Action-88791,348,6
Action-88792,359,4
Action-88793,428,45
Action-88794,17,28
Action-88795,498,44
Action-88796,213,38
Action-88797,405,23
Action-88798,319,0
Action-88799,274,34
Action-88800,292,37
Action-88801,377,27
Action-88802,169,9
Action-88803,127,35
Action-88804,130,39
Action-88805,467,20
Action-88806,487,6
Action-88807,242,4
Action-88808,298,41
Action-88809,488,12
Action-88810,338,33
Action-88811,459,49
Action-88812,202,24
Action-88813,30,18
Action-88814,477,44
Action-88815,372,3
Action-88816,40,31
Action-88817,303,7
Action-88818,492,30
Action-88819,18,21
Action-88820,237,23
Action-88821,79,13
Action-88822,225,9
Action-88823,125,34
Action-88824,291,29
Action-88825,297,6
Action-88826,455,31
Action-88827,305,20
Action-88828,57,20
Action-88829,174,6
Action-88830,255,11
Action-88831,145,8
Action-88832,251,47
Action-88833,61,43
Action-88834,390,22
Action-88835,190,9
Action-88836,112,10
Action-88837,288,15
Action-88838,421,46
Action-88839,249,24
Action-88840,34,3
Action-88841,341,0
Action-88842,303,7
Action-88843,467,28
Action-88844,475,37
Action-88845,67,29
Action-88846,352,25
Action-88847,196,28
Action-88848,81,30
Action-88849,260,5
Action-88850,420,24
Action-88851,493,29
Action-88852,179,11
Action-88853,135,41
Action-88854,107,2
Action-88855,296,20
Action-88856,388,28
Action-88857,65,45
Action-88858,160,36
Action-88859,231,32
Action-88860,368,45
Action-88861,316,45
Action-88862,339,31
Action-88863,295,48
Action-88864,360,38
Action-88865,465,6
Action-88866,223,12
Action-88867,73,6
Action-88868,99,49
Action-88869,423,13
Action-88870,335,33
Action-88871,416,37
Action-88872,105,7
Action-88873,347,8
Action-88874,344,29
Action-88875,414,13
Action-88876,305,36
Action-88877,81,31
Action-88878,204,48
Action-88879,313,33
Action-88880,385,1
Action-88881,453,39
Action-88882,50,48
Action-88883,488,31
Action-88884,160,9
Action-88885,165,44
Action-88886,39,26
Action-88887,423,37
Action-88888,288,28
Action-88889,61,33
Action-88890,301,45
Action-88891,30,32
Action-88892,410,49
Action-88893,433,36
Action-88894,251,30
Action-88895,95,36
Action-88896,490,25
Action-88897,216,10
Action-88898,316,22
Action-88899,127,22
Action-88900,316,40
Action-88901,41,33
Action-88902,183,1
Action-88903,174,21
Action-88904,157,27
Action-88905,469,33
Action-88906,274,3
Action-88907,229,23
Action-88908,384,9
Action-88909,96,44
Action-88910,274,0
Action-88911,5,7
Action-88912,96,5
Action-88913,365,48
Action-88914,492,22
Action-88915,156,8
Action-88916,420,13
Action-88917,372,49
Action-88918,37,7
Action-88919,261,34
Action-88920,213,10
Action-88921,138,41
Action-88922,250,9
Action-88923,60,20
Action-88924,398,25
Action-88925,94,30
Action-88926,171,7
Action-88927,297,42
Action-88928,23,18
Action-88929,264,9
Action-88930,367,8
Action-88931,163,6
Action-88932,14,43
Action-88933,309,21
Action-88934,258,39
Action-88935,277,36
Action-88936,425,27
Action-88937,84,25
Action-88938,22,0
Action-88939,230,26
Action-88940,312,35
Action-88941,50,27
Action-88942,258,20
Action-88943,447,31
Action-88944,262,22
Action-88945,260,44
Action-88946,209,1
Action-88947,364,29
Action-88948,259,41
Action-88949,335,16
Action-88950,365,44
Action-88951,355,0
Action-88952,106,17
Action-88953,384,24
Action-88954,103,32
Action-88955,325,21
Action-88956,480,42
Action-88957,248,24
Action-88958,300,8
Action-88959,10,38
Action-88960,163,28
Action-88961,445,16
Action-88962,219,5
Action-88963,334,47
Action-88964,64,47
Action-88965,430,38
Action-88966,407,27
Action-88967,2,1
Action-88968,190,18
Action-88969,487,41
Action-88970,148,45
Action-88971,336,33
Action-88972,488,8
Action-88973,43,15
Action-88974,135,22
Action-88975,205,0
Action-88976,21,48
Action-88977,231,17
Action-88978,278,35
Action-88979,144,17
Action-88980,23,40
Action-88981,353,31
Action-88982,339,26
Action-88983,402,6
Action-88984,435,10
Action-88985,449,46
Action-88986,119,17
Action-88987,400,31
Action-88988,133,42
Action-88989,218,11
Action-88990,453,5
Action-88991,44,47
Action-88992,2,4
Action-88993,9,8
Action-88994,134,23
Action-88995,465,33
Action-88996,274,22
Action-88997,89,9
Action-88998,13,6
Action-88999,455,49
Action-89000,239,32
Action-89001,437,13
Action-89002,130,15
Action-89003,269,13
Action-89004,145,25
Action-89005,414,5
Action-89006,384,22
Action-89007,367,7
Action-89008,444,28
Action-89009,354,23
Action-89010,373,49
Action-89011,46,40
Action-89012,330,26
Action-89013,11,18
Action-89014,406,21
Action-89015,74,10
Action-89016,138,42
Action-89017,305,10
Action-89018,468,13
Action-89019,40,44
Action-89020,232,18
Action-89021,395,8
Action-89022,258,9
Action-89023,440,34
Action-89024,168,47
Action-89025,278,26
Action-89026,336,28
Action-89027,3,18
Action-89028,46,36
Action-89029,157,44
Action-89030,386,14
Action-89031,472,2
Action-89032,100,47
Action-89033,166,27
Action-89034,467,10
Action-89035,154,0
Action-89036,323,27
Action-89037,221,13
Action-89038,456,33
Action-89039,68,46
Action-89040,125,3
Action-89041,147,26
Action-89042,16,6
Action-89043,33,36
Action-89044,38,22
Action-89045,257,45
Action-89046,483,18
Action-89047,54,29
Action-89048,130,4
Action-89049,275,6
Action-89050,378,42
Action-89051,422,15
Action-89052,13,45
Action-89053,486,32
Action-89054,271,3
Action-89055,385,47
Action-89056,259,49
Action-89057,398,20
Action-89058,439,49
Action-89059,90,44
Action-89060,78,41
Action-89061,497,12
Action-89062,355,22
Action-89063,460,17
Action-89064,193,15
Action-89065,235,37
Action-89066,457,47
Action-89067,291,1
Action-89068,381,28
Action-89069,218,48
Action-89070,14,34
Action-89071,21,4
Action-89072,377,44
Action-89073,168,13
Action-89074,302,16
Action-89075,120,7
Action-89076,135,15
Action-89077,444,42
Action-89078,242,36
Action-89079,346,43
Action-89080,274,7
Action-89081,226,31
Action-89082,79,26
Action-89083,152,17
Action-89084,11,27
Action-89085,443,5
Action-89086,441,28
Action-89087,345,32
Action-89088,69,0
Action-89089,408,24
Action-89090,368,39
Action-89091,349,26
Action-89092,87,24
Action-89093,272,19
Action-89094,268,48
Action-89095,444,6
Action-89096,323,10
Action-89097,139,2
Action-89098,399,13
Action-89099,3,4
Action-89100,229,32
Action-89101,231,41
Action-89102,371,8
Action-89103,490,7
Action-89104,160,43
Action-89105,327,38
Action-89106,473,20
Action-89107,304,20
Action-89108,120,10
Action-89109,185,10
Action-89110,326,21
Action-89111,453,18
Action-89112,38,44
Action-89113,415,45
Action-89114,133,12
Action-89115,44,6
Action-89116,10,41
Action-89117,194,37
Action-89118,300,24
Action-89119,481,46
Action-89120,354,30
Action-89121,152,1
Action-89122,410,37
Action-89123,213,2
Action-89124,82,24
Action-89125,165,40
Action-89126,217,8
Action-89127,247,21
Action-89128,379,29
Action-89129,380,43
Action-89130,482,4
Action-89131,478,22
Action-89132,422,7
Action-89133,304,43
Action-89134,475,27
Action-89135,115,40
Action-89136,120,41
Action-89137,113,30
Action-89138,254,5
Action-89139,34,10
Action-89140,162,27
Action-89141,343,46
Action-89142,54,19
Action-89143,78,13
Action-89144,139,0
Action-89145,263,39
Action-89146,483,4
Action-89147,430,14
Action-89148,244,37
Action-89149,349,13
Action-89150,228,9
Action-89151,466,9
Action-89152,106,36
Action-89153,293,9
Action-89154,216,35
Action-89155,49,48
Action-89156,133,38
Action-89157,170,33
Action-89158,37,37
Action-89159,44,40
Action-89160,400,5
Action-89161,80,17
Action-89162,187,36
Action-89163,279,48
Action-89164,15,25
Action-89165,349,33
Action-89166,76,35
Action-89167,12,29
Action-89168,173,1
Action-89169,148,27
Action-89170,376,30
Action-89171,60,47
Action-89172,232,4
Action-89173,67,21
Action-89174,263,6
Action-89175,80,22
Action-89176,348,31
Action-89177,124,44
Action-89178,294,13
Action-89179,231,11
Action-89180,83,13
Action-89181,11,18
Action-89182,128,43
Action-89183,285,31
Action-89184,81,29
Action-89185,402,9
Action-89186,51,43
Action-89187,114,41
Action-89188,353,43
Action-89189,321,18
Action-89190,42,28
Action-89191,363,19
Action-89192,39,47
Action-89193,452,46
Action-89194,139,5
Action-89195,357,49
Action-89196,249,30
Action-89197,214,9
Action-89198,133,17
Action-89199,466,27
Action-89200,325,31
Action-89201,93,40
Action-89202,317,24
Action-89203,126,4
Action-89204,48,42
Action-89205,37,26
Action-89206,409,19
Action-89207,363,42
Action-89208,55,4
Action-89209,192,15
Action-89210,475,18
Action-89211,285,45
Action-89212,178,42
Action-89213,434,32
Action-89214,408,8
Action-89215,3,43
Action-89216,412,4
Action-89217,191,19
Action-89218,38,8
Action-89219,243,40
Action-89220,378,32
Action-89221,481,35
Action-89222,101,19
Action-89223,1,22
Action-89224,201,25
Action-89225,164,7
Action-89226,284,33
Action-89227,270,21
Action-89228,365,34
Action-89229,350,5
Action-89230,447,30
Action-89231,153,23
Action-89232,454,35
Action-89233,197,18
Action-89234,126,0
Action-89235,308,25
Action-89236,376,27
Action-89237,416,37
Action-89238,407,27
Action-89239,382,18
Action-89240,357,49
Action-89241,323,48
Action-89242,224,48
Action-89243,332,15
Action-89244,462,10
Action-89245,207,40
Action-89246,8,45
Action-89247,388,23
Action-89248,324,35
Action-89249,287,37
Action-89250,77,25
Action-89251,186,9
Action-89252,231,45
Action-89253,359,24
Action-89254,227,30
Action-89255,195,49
Action-89256,485,39
Action-89257,462,10
Action-89258,300,48
Action-89259,319,14
Action-89260,469,34
Action-89261,262,27
Action-89262,97,15
Action-89263,403,13
Action-89264,292,42
Action-89265,439,6
Action-89266,162,24
Action-89267,4,35
Action-89268,297,45
Action-89269,440,34
Action-89270,417,35
Action-89271,169,35
Action-89272,440,42
Action-89273,1,9
Action-89274,320,46
Action-89275,258,0
Action-89276,229,48
Action-89277,321,48
Action-89278,193,6
Action-89279,371,8
Action-89280,286,41
Action-89281,255,44
Action-89282,469,48
Action-89283,438,47
Action-89284,47,32
Action-89285,395,39
Action-89286,69,8
Action-89287,294,4
Action-89288,151,2
Action-89289,405,37
Action-89290,220,31
Action-89291,82,14
Action-89292,244,41
Action-89293,243,26
Action-89294,25,14
Action-89295,159,12
Action-89296,306,18
Action-89297,76,10
Action-89298,271,38
Action-89299,411,20
Action-89300,488,14
Action-89301,277,2
Action-89302,481,3
Action-89303,470,47
Action-89304,219,20
Action-89305,350,27
Action-89306,13,6
Action-89307,148,35
Action-89308,416,5
Action-89309,270,18
Action-89310,327,45
Action-89311,287,17
Action-89312,299,0
Action-89313,200,14
Action-89314,70,39
Action-89315,342,47
Action-89316,333,2
Action-89317,275,20
Action-89318,173,1
Action-89319,318,30
Action-89320,358,8
Action-89321,72,36
Action-89322,441,43
Action-89323,327,34
Action-89324,353,12
Action-89325,190,20
Action-89326,479,28
Action-89327,242,38
Action-89328,403,42
Action-89329,465,21
Action-89330,204,21
Action-89331,436,10
Action-89332,82,11
Action-89333,24,26
Action-89334,136,13
Action-89335,343,39
Action-89336,112,16
Action-89337,170,41
Action-89338,492,37
Action-89339,267,34
Action-89340,334,35
Action-89341,205,9
Action-89342,274,20
Action-89343,396,3
Action-89344,75,22
Action-89345,263,41
Action-89346,98,8
Action-89347,141,38
Action-89348,179,32
Action-89349,222,24
Action-89350,302,1
Action-89351,415,35
Action-89352,218,44
Action-89353,99,23
Action-89354,60,23
Action-89355,407,6
Action-89356,119,8
Action-89357,121,39
Action-89358,153,38
Action-89359,382,23
Action-89360,423,25
Action-89361,386,46
Action-89362,147,24
Action-89363,446,26
Action-89364,88,24
Action-89365,437,30
Action-89366,336,28
Action-89367,328,18
Action-89368,42,31
Action-89369,197,16
Action-89370,290,21
Action-89371,261,7
Action-89372,10,13
Action-89373,358,3
Action-89374,108,32
Action-89375,374,9
Action-89376,181,19
Action-89377,280,46
Action-89378,95,12
Action-89379,147,8
Action-89380,421,39
Action-89381,79,8
Action-89382,69,28
Action-89383,275,16
Action-89384,23,26
Action-89385,421,35
Action-89386,176,45
Action-89387,200,41
Action-89388,297,24
Action-89389,320,8
Action-89390,215,6
Action-89391,226,14
Action-89392,481,41
Action-89393,69,10
Action-89394,299,33
Action-89395,336,8
Action-89396,216,35
Action-89397,361,40
Action-89398,197,47
Action-89399,234,45
Action-89400,310,47
Action-89401,163,39
Action-89402,385,22
Action-89403,163,22
Action-89404,104,39
Action-89405,268,34
Action-89406,32,31
